user_id,free_meal,free_checked_bags,no_cancellation_fees,exclusive_discounts,free_hotel_night
411179,yes,no,no,no,no
548708,yes,no,no,no,no
476104,yes,yes,yes,no,yes
635666,yes,no,no,no,no
529783,yes,no,no,no,no
551718,yes,no,no,no,no
543081,yes,no,no,no,yes
520885,yes,yes,yes,no,no
572591,yes,no,no,no,no
510700,yes,yes,no,no,no
510070,yes,yes,no,no,no
526570,yes,yes,yes,no,yes
626645,yes,no,no,no,no
545879,yes,no,no,no,yes
592491,yes,yes,no,no,no
598185,yes,yes,no,no,no
558513,yes,no,no,no,no
506837,yes,yes,no,no,no
688600,yes,no,no,no,no
548967,yes,no,yes,no,yes
596220,yes,no,no,no,no
575419,yes,no,yes,no,no
544163,yes,no,no,no,no
686408,yes,no,no,no,no
511570,yes,no,no,no,no
513495,yes,no,no,no,no
464597,yes,no,no,no,no
561642,yes,no,no,no,no
752933,yes,no,no,no,no
586637,yes,no,no,no,no
550426,yes,no,no,no,no
566196,yes,no,no,no,no
527158,yes,yes,no,no,yes
485544,yes,yes,yes,no,yes
584530,yes,yes,no,yes,yes
552945,yes,no,yes,no,no
522005,yes,no,yes,no,no
537580,yes,no,no,no,no
569031,yes,no,no,no,no
530196,yes,no,no,no,no
510134,yes,yes,yes,yes,yes
526925,yes,no,no,no,no
519896,yes,no,no,no,no
592403,yes,no,no,no,no
520878,yes,no,no,no,no
568105,yes,no,no,no,no
555484,yes,yes,yes,no,yes
502353,yes,no,yes,no,no
512495,yes,no,yes,no,yes
547966,yes,no,no,no,no
514342,yes,yes,no,no,no
587313,yes,no,no,no,no
583446,yes,no,no,no,no
515580,yes,no,no,no,no
512418,yes,no,no,no,no
629812,yes,no,no,no,no
524116,yes,no,yes,no,no
563059,yes,yes,yes,yes,yes
585650,yes,no,no,no,no
573086,yes,no,no,no,no
516616,yes,yes,yes,no,yes
450193,yes,no,no,no,no
515229,yes,no,yes,no,no
538074,yes,no,yes,no,yes
513387,yes,no,yes,no,yes
527750,yes,no,no,no,no
579804,yes,no,no,no,no
516593,yes,no,no,no,no
554853,yes,no,no,no,no
519515,yes,yes,no,no,no
582796,yes,no,no,no,no
520947,yes,no,no,no,no
519079,yes,no,yes,no,no
573244,yes,no,no,no,no
586762,yes,no,no,no,no
560367,yes,no,yes,no,yes
512173,yes,no,no,no,no
118043,yes,yes,yes,yes,no
559345,yes,no,no,no,no
510163,yes,yes,no,no,no
570961,yes,no,no,no,no
551359,yes,yes,yes,no,no
662596,yes,no,no,no,no
520898,yes,no,no,no,no
611839,yes,no,yes,no,yes
535905,yes,yes,no,no,no
608820,yes,yes,no,yes,no
557887,yes,no,no,no,no
521212,yes,yes,no,no,no
519383,yes,no,no,no,no
631201,yes,no,no,no,no
548272,yes,yes,no,no,no
560627,yes,yes,no,no,yes
517491,yes,yes,yes,no,yes
494590,yes,yes,no,yes,no
632475,yes,no,no,no,no
639894,yes,no,no,no,no
316527,yes,no,no,no,yes
582801,yes,yes,no,no,yes
581835,yes,yes,yes,no,yes
537748,yes,yes,yes,no,yes
476665,yes,yes,yes,no,yes
525769,yes,yes,yes,no,yes
205044,yes,no,no,no,no
557692,yes,yes,no,no,no
541084,yes,no,yes,no,no
525591,yes,no,no,no,no
531557,yes,yes,yes,yes,yes
511803,yes,no,no,no,no
551245,yes,yes,no,no,no
523338,yes,yes,no,no,yes
563731,yes,no,yes,yes,no
533404,yes,no,no,no,no
463783,yes,no,no,no,no
557005,yes,yes,no,no,no
600690,yes,no,yes,no,no
538069,yes,no,no,no,yes
523690,yes,no,no,no,no
485780,yes,no,no,no,no
535447,yes,yes,yes,no,no
646424,yes,no,no,no,no
603592,yes,yes,no,no,yes
582723,yes,no,no,no,yes
519014,yes,no,no,no,no
494484,yes,no,no,no,no
539919,yes,no,no,no,no
539637,yes,no,no,yes,no
536313,yes,no,no,no,no
576612,yes,no,yes,no,yes
609262,yes,no,no,no,yes
517467,yes,no,no,no,no
635303,yes,yes,no,no,no
588370,yes,no,no,yes,no
546164,yes,no,no,no,no
553901,yes,yes,no,no,no
558988,yes,no,no,no,no
519859,yes,no,yes,no,yes
511739,yes,yes,no,no,no
527857,yes,no,no,no,no
531431,yes,yes,yes,no,yes
515306,yes,no,no,no,no
590558,yes,no,no,no,no
550317,yes,no,no,no,no
530773,yes,no,no,no,no
531016,yes,no,yes,no,yes
552313,yes,yes,yes,no,yes
569530,yes,no,no,no,no
597410,yes,no,no,no,no
584525,yes,yes,yes,no,yes
513611,yes,no,no,no,no
510822,yes,no,no,yes,no
547512,yes,yes,no,no,no
526354,yes,no,no,no,no
523146,yes,no,no,no,yes
575677,yes,no,yes,no,yes
514076,yes,no,no,no,no
528542,yes,yes,no,no,no
529857,yes,no,no,no,no
528061,yes,no,no,no,no
149058,yes,no,yes,no,yes
477730,yes,no,yes,no,yes
536659,yes,yes,yes,no,yes
518642,yes,no,no,no,no
554961,yes,no,no,no,no
634130,yes,no,no,no,no
530592,yes,no,no,no,no
550796,yes,no,no,yes,no
509933,yes,no,no,no,no
552929,yes,yes,no,no,no
513220,yes,no,yes,yes,yes
508625,yes,yes,no,no,no
594123,yes,no,no,no,no
548230,yes,no,no,no,no
512706,yes,no,no,no,no
459229,yes,no,no,yes,no
515168,yes,no,no,no,no
587373,yes,yes,yes,no,yes
488870,yes,no,no,no,no
645664,yes,no,no,no,no
595183,yes,no,no,no,no
548568,yes,yes,no,no,yes
487954,yes,no,no,no,no
534474,yes,yes,no,no,no
555600,yes,no,no,no,no
513967,yes,yes,yes,no,yes
630267,yes,no,no,no,no
512377,yes,yes,no,no,no
541999,yes,no,no,no,no
512888,yes,no,no,no,no
467007,yes,yes,no,no,no
511943,yes,no,no,no,no
546857,yes,no,no,no,no
560978,yes,no,no,no,no
584549,yes,no,no,yes,no
517403,yes,yes,no,no,no
573249,yes,no,no,no,no
602925,yes,no,yes,no,no
544680,yes,no,no,no,yes
550887,yes,no,no,no,no
575051,yes,no,no,no,no
507207,yes,no,no,no,no
626986,yes,no,yes,no,yes
547007,yes,no,yes,no,yes
522465,yes,yes,no,no,no
551600,yes,no,no,no,no
568155,yes,no,no,no,no
537400,yes,no,no,no,no
547693,yes,yes,no,no,no
542843,yes,yes,no,no,no
541906,yes,yes,no,no,no
560085,yes,yes,yes,no,no
523077,yes,no,no,no,no
522484,yes,no,yes,no,yes
524412,yes,yes,yes,no,yes
474120,yes,yes,no,no,yes
576849,yes,no,no,no,no
512928,yes,no,no,no,no
607524,yes,no,no,no,no
562398,yes,no,no,no,no
732729,yes,no,yes,no,no
404879,yes,no,no,no,no
567778,yes,no,no,no,no
181157,yes,yes,no,no,no
564606,yes,yes,no,no,no
529689,yes,no,no,no,no
189676,yes,no,no,no,no
498298,yes,no,no,no,no
532279,yes,no,no,no,no
537507,yes,no,no,no,no
510686,yes,no,no,no,no
493177,yes,no,no,no,yes
563736,yes,no,no,no,no
508849,yes,no,yes,no,no
511145,yes,no,no,no,no
521127,yes,no,yes,yes,no
512900,yes,no,no,no,no
533222,yes,yes,no,no,no
565265,yes,yes,yes,no,yes
526102,yes,no,yes,no,no
460625,yes,no,yes,no,no
593672,yes,no,no,no,no
581666,yes,no,no,no,no
514925,yes,no,no,no,no
542065,yes,no,no,no,no
586384,yes,no,yes,yes,no
516528,yes,no,no,no,no
523771,yes,no,no,no,no
547006,yes,no,no,no,no
545247,yes,no,no,no,no
515974,yes,no,no,no,no
577915,yes,yes,no,no,yes
527019,yes,no,no,no,no
588970,yes,no,no,no,no
547458,yes,no,no,no,no
669449,yes,yes,no,no,yes
491617,yes,yes,no,no,no
535906,yes,no,yes,yes,no
521170,yes,no,no,no,no
519254,yes,no,yes,no,yes
534040,yes,no,no,no,no
556067,yes,no,yes,no,yes
515639,yes,yes,yes,no,yes
522624,yes,no,no,no,no
509681,yes,no,no,no,no
521491,yes,yes,yes,no,no
575923,yes,no,no,no,no
564736,yes,no,yes,no,yes
548434,yes,no,no,no,no
535885,yes,no,no,no,no
608727,yes,no,no,no,no
464673,yes,yes,no,no,no
559277,yes,no,no,no,no
216796,yes,yes,no,no,no
546888,yes,yes,no,no,no
515051,yes,yes,yes,no,yes
528028,yes,no,no,no,no
522387,yes,no,no,no,no
542874,yes,no,no,no,no
569779,yes,no,no,no,no
537676,yes,no,yes,no,no
388328,yes,yes,yes,no,no
500646,yes,no,no,yes,no
575055,yes,no,no,no,yes
553339,yes,yes,no,no,no
586876,yes,no,no,no,no
533759,yes,no,no,no,no
595026,yes,no,no,no,no
533537,yes,no,no,no,no
448467,yes,no,no,no,no
509603,yes,no,no,no,no
704870,yes,no,no,no,no
522171,yes,no,no,no,no
549390,yes,no,no,no,no
521925,yes,no,yes,no,no
489953,yes,yes,yes,no,yes
561950,yes,yes,yes,no,yes
532101,yes,no,no,no,no
555784,yes,no,no,no,no
508829,yes,no,no,no,yes
652359,yes,no,no,no,no
620033,yes,no,no,no,no
513661,yes,no,no,no,no
564100,yes,yes,yes,yes,yes
566815,yes,no,no,no,no
496332,yes,yes,no,no,yes
668776,yes,no,no,no,no
517633,yes,no,no,no,no
548189,yes,no,no,no,no
550017,yes,no,yes,no,no
537818,yes,no,no,no,no
571348,yes,no,no,no,no
518416,yes,no,no,no,no
549389,yes,no,no,no,no
575459,yes,no,no,no,no
546131,yes,no,no,no,no
204997,yes,yes,no,no,yes
414128,yes,no,no,no,no
558202,yes,no,no,no,no
581307,yes,no,no,no,no
557569,yes,yes,no,no,no
559324,yes,no,no,no,no
608478,yes,no,no,yes,no
258451,yes,no,no,no,no
557762,yes,no,no,no,no
507133,yes,no,no,no,no
587234,yes,no,no,no,yes
523612,yes,no,yes,no,no
573939,yes,no,no,no,no
560511,yes,yes,yes,no,yes
534939,yes,no,no,no,no
562428,yes,no,no,no,no
510114,yes,no,yes,no,yes
535177,yes,no,no,no,no
518922,yes,no,no,no,no
513796,yes,no,no,no,no
517772,yes,no,yes,no,yes
518527,yes,no,yes,no,yes
545684,yes,yes,no,no,no
705215,yes,yes,no,no,no
545344,yes,no,no,no,no
500773,yes,no,no,no,no
549235,yes,no,no,no,no
514867,yes,no,no,no,no
514551,yes,no,no,no,no
563896,yes,yes,no,no,no
524180,yes,yes,yes,no,no
535081,yes,no,no,no,no
538147,yes,yes,no,no,no
365825,yes,no,no,no,no
627176,yes,no,no,no,no
610482,yes,no,yes,no,no
541972,yes,no,no,no,no
539864,yes,no,no,no,no
526729,yes,no,no,no,no
540180,yes,yes,yes,yes,yes
518716,yes,no,no,no,no
530667,yes,yes,yes,no,no
509713,yes,no,no,no,no
542015,yes,yes,yes,no,yes
528281,yes,no,yes,no,no
491141,yes,yes,yes,no,no
347778,yes,yes,yes,no,yes
545981,yes,no,yes,no,no
557851,yes,yes,no,yes,no
557956,yes,no,no,no,no
515058,yes,no,yes,no,yes
563773,yes,no,no,no,no
579950,yes,no,yes,no,yes
524194,yes,no,no,no,no
517076,yes,no,yes,yes,no
562843,yes,yes,no,no,no
529734,yes,yes,yes,no,yes
733654,yes,yes,no,no,no
643469,yes,no,no,no,no
567478,yes,yes,no,no,no
517674,yes,yes,no,no,no
514810,yes,no,no,no,no
515891,yes,no,yes,no,yes
549154,yes,no,yes,yes,no
532535,yes,no,no,no,no
664617,yes,no,no,no,no
547070,yes,yes,yes,yes,yes
611371,yes,yes,yes,yes,no
559772,yes,no,yes,no,yes
518348,yes,no,no,no,no
642786,yes,no,no,no,no
590843,yes,no,no,no,no
458814,yes,no,no,yes,no
495603,yes,no,yes,no,no
540656,yes,no,yes,no,yes
481622,yes,no,no,no,no
485591,yes,no,no,no,no
531670,yes,no,no,no,no
562032,yes,no,no,no,no
510570,yes,no,no,no,no
511578,yes,yes,yes,no,yes
522999,yes,no,no,no,no
566762,yes,no,yes,yes,no
418692,yes,no,no,no,yes
555710,yes,no,no,no,no
684521,yes,no,no,no,no
621291,yes,no,yes,no,no
521941,yes,no,no,no,no
496566,yes,no,no,no,no
522748,yes,yes,yes,yes,no
533773,yes,no,no,no,no
565377,yes,no,no,no,no
751545,yes,no,no,no,no
542358,yes,no,no,no,no
511502,yes,no,no,no,no
518480,yes,yes,no,no,no
561031,yes,yes,yes,no,yes
537904,yes,yes,yes,no,no
522233,yes,yes,yes,no,yes
514899,yes,yes,yes,yes,yes
510156,yes,no,yes,no,yes
517061,yes,yes,yes,no,no
544685,yes,no,no,no,no
555135,yes,no,yes,yes,no
525824,yes,no,no,no,no
614165,yes,yes,no,no,yes
590040,yes,yes,yes,no,no
522427,yes,no,no,no,no
511762,yes,no,no,no,no
521186,yes,no,no,no,no
556314,yes,no,no,no,no
613164,yes,no,no,no,no
595284,yes,no,no,no,yes
533975,yes,no,no,yes,no
540475,yes,no,no,no,no
678547,yes,no,no,no,no
596349,yes,no,no,no,no
557314,yes,yes,no,no,yes
514457,yes,no,no,no,yes
659744,yes,no,no,no,no
527886,yes,no,no,no,no
530463,yes,no,yes,yes,yes
546064,yes,yes,yes,no,yes
532711,yes,no,no,no,no
584875,yes,no,no,no,no
513638,yes,no,no,no,yes
542914,yes,no,no,no,no
640867,yes,yes,no,no,yes
612175,yes,yes,no,no,no
518495,yes,no,no,no,no
548653,yes,no,yes,no,yes
571454,yes,no,no,no,no
532258,yes,no,no,no,no
560949,yes,no,no,no,no
483237,yes,no,no,no,yes
523800,yes,no,no,no,no
527564,yes,no,no,no,no
529309,yes,no,yes,no,yes
654259,yes,yes,yes,no,yes
524200,yes,no,no,no,yes
528657,yes,yes,no,no,yes
510067,yes,no,no,no,no
510239,yes,no,no,no,no
549115,yes,no,no,no,no
514892,yes,yes,yes,no,yes
584977,yes,no,no,no,no
529831,yes,no,yes,no,no
510452,yes,yes,no,no,yes
595897,yes,no,no,no,no
515131,yes,yes,yes,no,yes
567256,yes,yes,yes,no,yes
580211,yes,yes,yes,no,yes
614748,yes,yes,no,no,yes
510815,yes,no,no,no,no
707525,yes,yes,no,no,no
512016,yes,no,no,no,no
540924,yes,no,no,no,no
597300,yes,no,no,no,no
571015,yes,no,yes,no,yes
543114,yes,no,yes,no,yes
567518,yes,no,no,no,no
524842,yes,no,no,no,no
598911,yes,yes,yes,yes,yes
566059,yes,yes,no,no,yes
636520,yes,no,no,no,no
528777,yes,no,no,no,no
532810,yes,no,no,no,no
549281,yes,yes,yes,yes,yes
550233,yes,yes,no,no,yes
577145,yes,yes,yes,no,no
527253,yes,yes,yes,no,yes
505854,yes,yes,yes,no,no
523819,yes,no,yes,no,no
547878,yes,no,no,yes,no
539320,yes,no,yes,no,no
499038,yes,yes,no,no,no
579589,yes,no,yes,no,yes
681581,yes,yes,no,no,no
525996,yes,no,yes,no,yes
555083,yes,no,no,no,no
599454,yes,no,no,no,yes
522898,yes,no,no,no,no
623850,yes,no,yes,no,yes
495727,yes,yes,yes,no,yes
547559,yes,yes,yes,yes,yes
508050,yes,yes,no,no,no
565791,yes,no,no,no,no
510195,yes,no,no,no,no
452594,yes,no,no,no,no
533990,yes,no,yes,no,no
539010,yes,no,no,no,no
518526,yes,no,yes,no,yes
511677,yes,no,no,no,yes
603635,yes,yes,no,no,yes
504371,yes,no,yes,no,yes
590095,yes,no,no,no,no
550200,yes,no,no,no,no
523513,yes,no,no,no,no
517675,yes,yes,no,no,yes
510326,yes,yes,yes,yes,yes
509354,yes,no,no,no,no
549202,yes,no,yes,no,no
653281,yes,no,no,no,yes
535135,yes,no,no,no,no
595087,yes,yes,yes,no,yes
512069,yes,no,yes,no,yes
566008,yes,yes,yes,no,yes
501817,yes,no,no,no,no
546648,yes,no,no,yes,no
546008,yes,no,no,no,yes
523756,yes,no,yes,no,yes
490133,yes,yes,yes,no,no
582254,yes,no,no,no,no
531386,yes,no,yes,no,yes
568605,yes,no,no,no,no
528179,yes,no,no,no,no
313724,yes,yes,yes,no,yes
593350,yes,no,no,no,yes
541812,yes,no,yes,no,yes
525056,yes,no,no,no,yes
536278,yes,no,no,no,no
387282,yes,no,no,no,no
629877,yes,no,no,no,no
523290,yes,no,no,no,no
529231,yes,no,no,no,no
625030,yes,no,yes,no,no
515941,yes,no,no,no,no
495482,yes,no,yes,no,no
543385,yes,no,yes,yes,yes
698573,yes,no,no,no,no
608086,yes,no,no,no,no
540147,yes,yes,yes,no,yes
641102,yes,no,no,no,no
552944,yes,no,no,no,no
529513,yes,no,yes,no,no
520719,yes,no,no,no,yes
433905,yes,no,no,no,no
522223,yes,yes,no,no,yes
528723,yes,yes,no,no,no
556744,yes,no,no,no,no
530199,yes,no,no,no,no
515751,yes,no,no,no,no
473402,yes,yes,no,no,yes
605136,yes,no,no,no,no
538260,yes,no,no,no,no
528683,yes,no,no,no,no
560991,yes,no,no,no,yes
596361,yes,no,no,no,no
575971,yes,yes,yes,yes,yes
555997,yes,no,yes,no,yes
552303,yes,no,no,no,no
584787,yes,no,no,no,no
529801,yes,yes,yes,no,no
589164,yes,no,no,no,yes
663017,yes,yes,no,no,yes
584459,yes,no,no,no,no
460553,yes,no,no,no,no
520265,yes,no,yes,no,yes
518015,yes,no,no,no,yes
543713,yes,no,no,no,no
527396,yes,no,no,no,no
583764,yes,yes,no,no,no
565294,yes,yes,yes,no,yes
563483,yes,yes,yes,no,yes
570076,yes,no,no,no,no
571940,yes,no,no,no,no
547862,yes,yes,no,no,no
541931,yes,no,no,no,no
530039,yes,no,no,no,no
549058,yes,no,no,no,no
501947,yes,no,yes,no,yes
514460,yes,no,no,no,no
532544,yes,no,no,no,no
548408,yes,yes,yes,yes,yes
642679,yes,no,yes,no,yes
23557,yes,no,no,no,no
539317,yes,no,yes,no,yes
645415,yes,no,no,no,no
527524,yes,no,no,no,no
608860,yes,no,no,no,no
664401,yes,no,no,no,yes
522115,yes,yes,no,no,yes
534688,yes,yes,yes,no,yes
607028,yes,yes,no,no,no
602476,yes,no,no,no,no
511140,yes,no,no,no,no
530950,yes,no,no,no,no
531499,yes,no,no,no,no
545300,yes,no,yes,no,yes
572554,yes,yes,yes,no,yes
532863,yes,no,no,yes,no
543660,yes,no,no,no,no
561908,yes,yes,no,no,yes
545011,yes,yes,no,no,no
537181,yes,yes,yes,no,yes
543240,yes,no,no,no,no
563735,yes,yes,yes,no,no
522152,yes,yes,no,no,no
493409,yes,yes,yes,no,no
533396,yes,yes,yes,no,yes
555203,yes,no,no,no,no
539528,yes,no,no,no,yes
549367,yes,no,no,no,no
528455,yes,no,no,no,no
572992,yes,yes,no,no,yes
516789,yes,yes,no,no,yes
563882,yes,no,no,no,no
565949,yes,yes,no,no,no
614092,yes,no,no,no,no
349132,yes,no,no,no,no
521235,yes,yes,yes,no,yes
471500,yes,no,no,no,no
542937,yes,no,yes,no,yes
556830,yes,no,no,no,no
566489,yes,yes,no,no,no
512190,yes,no,no,no,no
546867,yes,no,no,no,no
452034,yes,no,no,no,no
519248,yes,no,no,no,no
623941,yes,yes,no,no,no
683014,yes,no,no,no,no
530543,yes,yes,yes,no,yes
579714,yes,no,no,no,no
662010,yes,no,no,no,yes
575528,yes,no,no,no,no
578947,yes,no,no,no,no
511126,yes,no,yes,no,no
549377,yes,yes,no,no,no
639168,yes,no,no,no,no
582011,yes,yes,no,no,yes
546774,yes,no,no,no,no
543968,yes,yes,yes,yes,yes
583612,yes,no,no,no,no
565573,yes,yes,yes,no,yes
517549,yes,yes,yes,no,yes
574116,yes,no,no,no,no
572744,yes,no,no,no,no
538084,yes,no,yes,no,no
555478,yes,no,no,no,no
535747,yes,no,no,no,no
573670,yes,yes,yes,no,yes
517231,yes,no,no,no,no
549746,yes,yes,yes,yes,yes
518694,yes,no,no,no,no
521720,yes,yes,no,no,yes
297546,yes,yes,yes,no,yes
