user_id,perk
375729,1 night free with flight
375751,Free Checked Bag
376159,Exclusive discounts
377069,Exclusive discounts
377411,Free Checked Bag
378565,No Cancellation Fees
379543,Free Checked Bag
380434,Free Checked Bag
380436,Exclusive discounts
380757,Free Checked Bag
380874,1 night free with flight
380949,Free Hotel Meal
381259,Exclusive discounts
381465,Free Checked Bag
382181,Free Checked Bag
382384,Exclusive discounts
382533,Exclusive discounts
385689,1 night free with flight
386255,Exclusive discounts
386469,Exclusive discounts
386914,Free Hotel Meal
387282,Exclusive discounts
387783,Free Checked Bag
388328,1 night free with flight
388767,Exclusive discounts
388947,Free Checked Bag
389434,Free Hotel Meal
389662,Free Checked Bag
389759,Free Checked Bag
390811,Free Checked Bag
392453,Exclusive discounts
395202,Exclusive discounts
395981,Free Hotel Meal
396552,Free Checked Bag
399137,No Cancellation Fees
399218,Exclusive discounts
399799,Free Checked Bag
400275,1 night free with flight
400582,Free Checked Bag
400899,Free Checked Bag
401245,Free Checked Bag
402332,1 night free with flight
402978,Free Hotel Meal
403881,Free Hotel Meal
404879,Free Checked Bag
405305,Free Checked Bag
406210,Exclusive discounts
407118,No Cancellation Fees
407250,Free Checked Bag
407275,Free Checked Bag
407434,Exclusive discounts
407642,Free Checked Bag
408551,Free Checked Bag
409073,Free Checked Bag
411179,1 night free with flight
411701,Exclusive discounts
413128,No Cancellation Fees
413340,Free Checked Bag
413418,Free Checked Bag
413658,Free Hotel Meal
414128,Free Checked Bag
415282,Free Checked Bag
415381,Free Checked Bag
415581,Free Checked Bag
416319,Free Checked Bag
416580,1 night free with flight
417679,1 night free with flight
418329,1 night free with flight
418488,Free Hotel Meal
418692,1 night free with flight
420648,1 night free with flight
420669,Free Checked Bag
421247,1 night free with flight
421515,Free Checked Bag
421666,Free Checked Bag
421700,1 night free with flight
421870,Free Hotel Meal
422066,Free Hotel Meal
422668,Exclusive discounts
423042,Free Hotel Meal
423413,No Cancellation Fees
424553,Free Checked Bag
425632,Free Checked Bag
425653,Exclusive discounts
425953,Free Checked Bag
425966,Free Checked Bag
426478,Exclusive discounts
427426,Free Checked Bag
427506,Free Hotel Meal
428056,Free Checked Bag
428552,Free Checked Bag
428858,No Cancellation Fees
429345,Exclusive discounts
429375,Free Checked Bag
430722,Free Checked Bag
431144,Exclusive discounts
431337,Free Checked Bag
431602,Free Checked Bag
431746,Exclusive discounts
431899,Exclusive discounts
431912,Exclusive discounts
432333,Free Checked Bag
432637,Free Checked Bag
432941,Free Checked Bag
433080,1 night free with flight
433339,Free Checked Bag
433905,Exclusive discounts
434238,Free Checked Bag
434623,1 night free with flight
435231,Exclusive discounts
435596,Free Checked Bag
435669,Free Checked Bag
435837,Exclusive discounts
435882,Free Checked Bag
436320,1 night free with flight
436894,Exclusive discounts
437069,Free Hotel Meal
437162,1 night free with flight
437251,Free Checked Bag
437539,Free Hotel Meal
437549,Free Hotel Meal
438189,Free Hotel Meal
438406,1 night free with flight
438551,No Cancellation Fees
438596,Free Checked Bag
438839,Free Checked Bag
438937,Free Checked Bag
438985,No Cancellation Fees
438995,Exclusive discounts
439052,Free Hotel Meal
439120,Free Checked Bag
439363,Free Checked Bag
440212,Exclusive discounts
440655,Free Checked Bag
441200,Free Checked Bag
441205,Exclusive discounts
441448,Exclusive discounts
441457,1 night free with flight
441982,1 night free with flight
442484,Free Checked Bag
442718,1 night free with flight
442812,Exclusive discounts
442819,Exclusive discounts
442833,Free Checked Bag
443305,Exclusive discounts
443453,Free Checked Bag
443598,1 night free with flight
443652,Free Hotel Meal
444387,Free Checked Bag
444885,Exclusive discounts
445351,Free Checked Bag
445515,Free Checked Bag
446124,Free Hotel Meal
446138,No Cancellation Fees
446473,1 night free with flight
446933,Free Hotel Meal
447053,Free Checked Bag
447591,Exclusive discounts
447737,Free Checked Bag
447951,Free Checked Bag
448025,Exclusive discounts
448154,Exclusive discounts
448295,Free Checked Bag
448467,Exclusive discounts
448564,Free Hotel Meal
449033,Free Hotel Meal
449326,Free Checked Bag
449619,Free Hotel Meal
449804,Free Checked Bag
449980,No Cancellation Fees
450164,Free Hotel Meal
450193,No Cancellation Fees
450305,1 night free with flight
450615,Free Hotel Meal
451291,1 night free with flight
451674,Exclusive discounts
452034,Free Checked Bag
452532,Free Checked Bag
452594,Free Checked Bag
452612,Free Checked Bag
453143,Free Hotel Meal
453168,Free Checked Bag
454264,Exclusive discounts
454430,1 night free with flight
454616,Exclusive discounts
454661,Free Checked Bag
454920,Free Hotel Meal
454934,Free Hotel Meal
454955,Exclusive discounts
456226,Free Hotel Meal
456318,Exclusive discounts
456663,Free Checked Bag
456671,Exclusive discounts
457468,1 night free with flight
457599,1 night free with flight
457967,Exclusive discounts
458479,1 night free with flight
458688,Exclusive discounts
458725,Exclusive discounts
458762,Free Checked Bag
458814,1 night free with flight
458855,Free Checked Bag
458919,Free Checked Bag
459229,1 night free with flight
459486,Exclusive discounts
459645,Exclusive discounts
460072,Exclusive discounts
460181,Exclusive discounts
460553,Free Checked Bag
460625,1 night free with flight
461559,1 night free with flight
461744,Exclusive discounts
461791,Free Checked Bag
462127,Exclusive discounts
462456,Free Checked Bag
462894,Exclusive discounts
463652,Exclusive discounts
463698,Free Checked Bag
463783,No Cancellation Fees
463867,Free Checked Bag
463910,Free Hotel Meal
464080,Exclusive discounts
464160,Free Checked Bag
464239,Free Checked Bag
464542,Exclusive discounts
464597,Exclusive discounts
464614,Free Hotel Meal
464673,No Cancellation Fees
464782,Exclusive discounts
464855,No Cancellation Fees
465138,Free Hotel Meal
465343,Free Checked Bag
465531,Free Checked Bag
465568,Exclusive discounts
465731,Free Checked Bag
466205,Free Checked Bag
466342,No Cancellation Fees
466723,1 night free with flight
467007,Free Hotel Meal
467092,Exclusive discounts
467339,Free Checked Bag
467809,1 night free with flight
467892,No Cancellation Fees
468106,Free Checked Bag
468370,Free Checked Bag
468409,Free Hotel Meal
468666,1 night free with flight
468801,1 night free with flight
468808,Free Hotel Meal
468832,Free Hotel Meal
469237,Exclusive discounts
469418,Exclusive discounts
469440,Free Checked Bag
469464,1 night free with flight
469699,Exclusive discounts
469767,Free Hotel Meal
469824,Free Checked Bag
471077,Free Hotel Meal
471161,Free Checked Bag
471186,Free Checked Bag
471500,1 night free with flight
471565,Exclusive discounts
471649,Exclusive discounts
471687,Free Checked Bag
471717,Free Checked Bag
471935,Free Checked Bag
471946,Exclusive discounts
471973,Exclusive discounts
472394,Free Checked Bag
472446,Exclusive discounts
472614,Free Checked Bag
472713,Free Hotel Meal
472785,Free Checked Bag
472966,Exclusive discounts
473332,1 night free with flight
473343,Free Checked Bag
473402,Free Hotel Meal
473467,1 night free with flight
473568,Exclusive discounts
473712,Free Hotel Meal
473847,Exclusive discounts
474007,Exclusive discounts
474120,Free Hotel Meal
474239,Exclusive discounts
474261,Free Checked Bag
474278,Exclusive discounts
474384,Free Hotel Meal
474464,Free Hotel Meal
474546,1 night free with flight
474951,Free Hotel Meal
474980,Free Checked Bag
475060,Free Checked Bag
475130,Free Hotel Meal
475467,Free Hotel Meal
475531,Free Hotel Meal
476081,Free Checked Bag
476104,Free Hotel Meal
476124,Free Checked Bag
476173,Exclusive discounts
476270,Free Checked Bag
476393,Free Checked Bag
476436,Free Hotel Meal
476535,Free Checked Bag
476665,Free Hotel Meal
476693,Free Hotel Meal
476714,Free Checked Bag
476742,Exclusive discounts
476916,Exclusive discounts
476956,Free Checked Bag
477285,Free Checked Bag
477316,Free Checked Bag
477597,Free Checked Bag
477730,Free Hotel Meal
477805,Exclusive discounts
478003,Free Checked Bag
478146,Free Checked Bag
478188,Free Checked Bag
478228,Exclusive discounts
478291,Free Checked Bag
478533,Exclusive discounts
478585,Free Hotel Meal
478760,Exclusive discounts
478801,Free Checked Bag
478834,Exclusive discounts
479071,Free Hotel Meal
479078,Exclusive discounts
479101,Exclusive discounts
479254,Free Checked Bag
479524,Free Checked Bag
479785,Exclusive discounts
480186,Exclusive discounts
480313,Free Checked Bag
480331,Free Checked Bag
480690,1 night free with flight
480796,Free Checked Bag
480877,Free Hotel Meal
480895,Free Checked Bag
480975,Exclusive discounts
481050,Exclusive discounts
481245,Free Checked Bag
481292,Free Hotel Meal
481358,Exclusive discounts
481554,Free Hotel Meal
481622,Free Checked Bag
481772,No Cancellation Fees
481781,Exclusive discounts
482264,Free Hotel Meal
482335,Exclusive discounts
482424,Free Hotel Meal
482548,Free Hotel Meal
482602,Free Checked Bag
482621,Free Checked Bag
482630,Free Checked Bag
482744,Free Hotel Meal
482811,Exclusive discounts
483224,Free Checked Bag
483237,1 night free with flight
483345,Free Hotel Meal
483480,Free Hotel Meal
483483,Free Checked Bag
483525,Exclusive discounts
483603,Free Checked Bag
483928,Free Hotel Meal
483982,Free Checked Bag
484249,No Cancellation Fees
484342,Exclusive discounts
484418,Free Checked Bag
484987,Free Hotel Meal
485149,Free Checked Bag
485260,Free Checked Bag
485393,No Cancellation Fees
485505,Free Checked Bag
485518,Exclusive discounts
485536,Exclusive discounts
485544,Free Hotel Meal
485591,1 night free with flight
485658,Free Hotel Meal
485780,No Cancellation Fees
485785,Free Checked Bag
485891,No Cancellation Fees
485894,No Cancellation Fees
486046,Exclusive discounts
486113,Free Checked Bag
486191,Exclusive discounts
486261,Exclusive discounts
486268,Exclusive discounts
486270,Free Checked Bag
486366,Free Checked Bag
486447,Exclusive discounts
486454,Free Checked Bag
486605,Exclusive discounts
486671,Free Hotel Meal
486751,1 night free with flight
486823,Free Checked Bag
487002,Exclusive discounts
487036,Exclusive discounts
487040,Free Checked Bag
487101,Free Hotel Meal
487276,Free Hotel Meal
487352,Exclusive discounts
487453,1 night free with flight
487637,Free Checked Bag
487680,Free Checked Bag
487715,Free Hotel Meal
487858,Free Checked Bag
487954,Free Hotel Meal
488009,Exclusive discounts
488099,Exclusive discounts
488246,Exclusive discounts
488314,Free Hotel Meal
488410,Free Checked Bag
488430,Exclusive discounts
488462,1 night free with flight
488480,Free Checked Bag
488511,No Cancellation Fees
488529,1 night free with flight
488539,Exclusive discounts
488672,1 night free with flight
488827,1 night free with flight
488865,Free Checked Bag
488870,Free Checked Bag
488918,Free Hotel Meal
488974,Free Checked Bag
489096,Free Checked Bag
489131,Exclusive discounts
489575,Free Hotel Meal
489635,Free Hotel Meal
489661,Exclusive discounts
489730,Free Checked Bag
489785,1 night free with flight
489786,Exclusive discounts
489802,Exclusive discounts
489844,1 night free with flight
489852,Exclusive discounts
489949,Free Checked Bag
489953,Free Hotel Meal
489992,Free Checked Bag
490040,Free Checked Bag
490107,Free Hotel Meal
490133,Free Hotel Meal
490201,Free Checked Bag
490348,Exclusive discounts
490358,Free Checked Bag
490517,Free Checked Bag
490576,Free Checked Bag
490608,Free Checked Bag
490629,Free Hotel Meal
490671,Free Hotel Meal
491003,Exclusive discounts
491124,No Cancellation Fees
491141,Free Hotel Meal
491175,Free Hotel Meal
491182,Free Hotel Meal
491241,Free Checked Bag
491266,Free Checked Bag
491559,Free Checked Bag
491597,1 night free with flight
491617,Free Hotel Meal
491706,Exclusive discounts
491772,1 night free with flight
491925,Free Hotel Meal
491930,Free Checked Bag
491995,Exclusive discounts
492209,Free Checked Bag
492211,Exclusive discounts
492287,Free Checked Bag
492371,Free Checked Bag
492497,Exclusive discounts
492614,Exclusive discounts
492999,Exclusive discounts
493177,1 night free with flight
493409,Free Hotel Meal
493476,Exclusive discounts
493718,No Cancellation Fees
494294,Free Hotel Meal
494374,Free Checked Bag
494382,Free Hotel Meal
494441,Exclusive discounts
494463,1 night free with flight
494484,No Cancellation Fees
494590,1 night free with flight
494630,Exclusive discounts
494680,Free Checked Bag
494704,Free Hotel Meal
494985,Free Hotel Meal
495029,1 night free with flight
495042,1 night free with flight
495080,Exclusive discounts
495272,Free Checked Bag
495273,Free Hotel Meal
495386,1 night free with flight
495482,Free Hotel Meal
495592,Exclusive discounts
495603,Free Hotel Meal
495727,Free Hotel Meal
496016,1 night free with flight
496074,Exclusive discounts
496273,1 night free with flight
496286,Free Checked Bag
496332,Free Hotel Meal
496382,1 night free with flight
496408,Free Hotel Meal
496566,Free Checked Bag
496899,Free Checked Bag
496972,Free Checked Bag
497042,Free Checked Bag
497077,1 night free with flight
497108,Free Checked Bag
497225,1 night free with flight
497475,Free Checked Bag
497615,Free Checked Bag
497678,Free Checked Bag
497680,Free Checked Bag
497829,Free Checked Bag
497915,Free Hotel Meal
498154,Free Checked Bag
498199,Free Checked Bag
498287,Free Hotel Meal
498298,No Cancellation Fees
498357,Free Hotel Meal
498363,Exclusive discounts
498500,1 night free with flight
498574,Free Checked Bag
498607,Free Checked Bag
498665,Free Hotel Meal
498857,Free Checked Bag
498931,Free Checked Bag
499028,Free Checked Bag
499038,Free Hotel Meal
499252,Exclusive discounts
499313,Exclusive discounts
499366,Free Hotel Meal
499375,Free Hotel Meal
499379,1 night free with flight
499461,Free Checked Bag
499475,Free Checked Bag
499633,Free Hotel Meal
499634,Exclusive discounts
499659,Exclusive discounts
499669,Exclusive discounts
499751,Free Hotel Meal
499760,Exclusive discounts
499780,Exclusive discounts
499810,Free Checked Bag
499847,Free Checked Bag
499969,Exclusive discounts
499979,Free Hotel Meal
499990,Free Checked Bag
500078,Free Checked Bag
500196,Free Checked Bag
500243,Exclusive discounts
500257,Free Checked Bag
500288,Exclusive discounts
500299,Exclusive discounts
500493,No Cancellation Fees
500532,Exclusive discounts
500646,1 night free with flight
500745,Free Checked Bag
500773,1 night free with flight
500791,Exclusive discounts
500828,Free Checked Bag
500972,Free Checked Bag
500974,Free Hotel Meal
501087,Free Checked Bag
501125,Free Checked Bag
501184,No Cancellation Fees
501322,1 night free with flight
501344,Exclusive discounts
501436,No Cancellation Fees
501512,1 night free with flight
501708,Exclusive discounts
501735,Free Checked Bag
501764,Free Checked Bag
501780,Exclusive discounts
501794,Free Hotel Meal
501817,Free Checked Bag
501830,Exclusive discounts
501897,Exclusive discounts
501947,Free Hotel Meal
502063,Exclusive discounts
502145,Free Hotel Meal
502210,Free Checked Bag
502212,Exclusive discounts
502353,No Cancellation Fees
502412,1 night free with flight
502435,Free Checked Bag
502444,Free Hotel Meal
502609,Free Hotel Meal
502626,Free Checked Bag
502799,Free Hotel Meal
502819,Exclusive discounts
502826,Free Checked Bag
502847,Free Hotel Meal
502850,Exclusive discounts
502875,Free Checked Bag
502995,Exclusive discounts
503042,Exclusive discounts
503049,Exclusive discounts
503058,Free Checked Bag
503126,Exclusive discounts
503161,Exclusive discounts
503277,Free Hotel Meal
503342,Free Checked Bag
503418,Free Hotel Meal
503483,Exclusive discounts
503621,Exclusive discounts
503760,No Cancellation Fees
503773,Exclusive discounts
503918,Exclusive discounts
503928,Free Checked Bag
503945,Free Checked Bag
503973,1 night free with flight
504081,Free Checked Bag
504133,No Cancellation Fees
504240,1 night free with flight
504299,Free Checked Bag
504320,1 night free with flight
504371,Free Hotel Meal
504435,Free Hotel Meal
504473,Free Checked Bag
504579,Exclusive discounts
504610,Exclusive discounts
504665,1 night free with flight
504669,Free Checked Bag
504786,Free Checked Bag
504859,Exclusive discounts
504892,No Cancellation Fees
504916,Exclusive discounts
504936,1 night free with flight
504945,Free Hotel Meal
505062,Free Checked Bag
505066,Exclusive discounts
505172,No Cancellation Fees
505230,Free Checked Bag
505285,1 night free with flight
505289,Free Checked Bag
505358,Free Checked Bag
505414,Free Checked Bag
505498,Free Checked Bag
505617,Free Checked Bag
505667,Free Checked Bag
505680,Free Checked Bag
505713,Free Hotel Meal
505747,Free Checked Bag
505771,Free Hotel Meal
505854,1 night free with flight
505916,No Cancellation Fees
505933,Free Checked Bag
505941,1 night free with flight
506013,1 night free with flight
506130,1 night free with flight
506186,Free Checked Bag
506234,Free Hotel Meal
506250,Free Checked Bag
506347,Exclusive discounts
506427,Free Hotel Meal
506611,Free Checked Bag
506652,Exclusive discounts
506675,Free Hotel Meal
506704,Free Checked Bag
506777,Exclusive discounts
506807,1 night free with flight
506828,Exclusive discounts
506837,1 night free with flight
506858,Free Checked Bag
506990,Exclusive discounts
507036,Exclusive discounts
507133,Free Checked Bag
507207,Exclusive discounts
507273,Free Checked Bag
507376,Exclusive discounts
507395,Free Hotel Meal
507431,Free Hotel Meal
507435,Free Hotel Meal
507505,No Cancellation Fees
507513,Exclusive discounts
507531,Exclusive discounts
507557,Exclusive discounts
507573,Free Checked Bag
507617,Free Checked Bag
507728,Exclusive discounts
507732,1 night free with flight
507753,Exclusive discounts
507759,1 night free with flight
507773,Free Checked Bag
507805,No Cancellation Fees
508050,1 night free with flight
508096,Free Checked Bag
508111,Exclusive discounts
508144,Free Checked Bag
508153,Free Checked Bag
508240,1 night free with flight
508360,Free Checked Bag
508367,1 night free with flight
508497,Exclusive discounts
508512,Exclusive discounts
508546,Free Checked Bag
508611,Exclusive discounts
508625,Free Hotel Meal
508693,1 night free with flight
508713,Exclusive discounts
508731,Free Hotel Meal
508829,Free Checked Bag
508848,Free Checked Bag
508849,No Cancellation Fees
508856,Exclusive discounts
508857,Free Hotel Meal
508860,Free Checked Bag
508866,Free Checked Bag
508877,Free Hotel Meal
508891,Exclusive discounts
508892,Free Checked Bag
508901,Free Checked Bag
508912,Free Checked Bag
508917,Exclusive discounts
508923,Free Hotel Meal
508938,Free Checked Bag
508940,Free Checked Bag
508944,Free Checked Bag
508946,Free Checked Bag
508964,Exclusive discounts
508973,Free Checked Bag
509001,Exclusive discounts
509024,Exclusive discounts
509036,Free Checked Bag
509052,Exclusive discounts
509061,1 night free with flight
509069,Free Checked Bag
509098,1 night free with flight
509115,Free Hotel Meal
509119,Free Checked Bag
509157,Free Checked Bag
509160,Free Checked Bag
509162,No Cancellation Fees
509202,Exclusive discounts
509221,Free Hotel Meal
509242,Free Checked Bag
509272,Exclusive discounts
509278,Free Hotel Meal
509282,Free Hotel Meal
509302,Free Checked Bag
509316,Free Checked Bag
509324,Free Checked Bag
509341,Exclusive discounts
509346,Free Checked Bag
509353,Exclusive discounts
509354,Free Checked Bag
509359,Free Hotel Meal
509402,Exclusive discounts
509411,1 night free with flight
509413,Exclusive discounts
509414,Exclusive discounts
509419,Free Hotel Meal
509421,1 night free with flight
509435,Free Hotel Meal
509445,Free Checked Bag
509453,Free Checked Bag
509454,No Cancellation Fees
509459,No Cancellation Fees
509467,No Cancellation Fees
509498,No Cancellation Fees
509515,Free Checked Bag
509516,Free Checked Bag
509530,Free Hotel Meal
509552,Exclusive discounts
509598,Free Checked Bag
509603,Exclusive discounts
509626,Free Hotel Meal
509635,Free Checked Bag
509638,Exclusive discounts
509645,1 night free with flight
509681,Free Checked Bag
509712,Free Checked Bag
509713,Free Checked Bag
509717,Free Checked Bag
509749,Free Hotel Meal
509763,1 night free with flight
509765,Free Checked Bag
509781,Exclusive discounts
509822,Free Checked Bag
509826,Exclusive discounts
509841,1 night free with flight
509855,Exclusive discounts
509876,Exclusive discounts
509892,Exclusive discounts
509903,Free Hotel Meal
509919,Free Checked Bag
509924,Exclusive discounts
509933,No Cancellation Fees
509969,Exclusive discounts
509990,Exclusive discounts
510003,Exclusive discounts
510022,Free Checked Bag
510044,1 night free with flight
510048,Free Checked Bag
510061,1 night free with flight
510067,Free Checked Bag
510070,No Cancellation Fees
510078,Free Checked Bag
510079,Exclusive discounts
510081,Free Checked Bag
510090,Exclusive discounts
510093,Free Hotel Meal
510094,Exclusive discounts
510104,Free Checked Bag
510108,Free Checked Bag
510112,Exclusive discounts
510114,Free Hotel Meal
510134,Free Hotel Meal
510155,No Cancellation Fees
510156,Free Hotel Meal
510163,Free Hotel Meal
510164,1 night free with flight
510170,Free Checked Bag
510172,1 night free with flight
510179,Free Hotel Meal
510185,No Cancellation Fees
510188,No Cancellation Fees
510195,Free Hotel Meal
510198,1 night free with flight
510213,Free Hotel Meal
510215,Free Checked Bag
510219,Free Checked Bag
510227,Free Checked Bag
510238,Free Checked Bag
510239,Free Checked Bag
510243,Free Checked Bag
510257,Exclusive discounts
510270,Exclusive discounts
510283,Exclusive discounts
510315,Free Checked Bag
510316,Exclusive discounts
510326,Free Hotel Meal
510328,Free Hotel Meal
510343,Free Hotel Meal
510356,Free Checked Bag
510365,No Cancellation Fees
510369,Free Checked Bag
510379,Exclusive discounts
510393,Exclusive discounts
510418,Exclusive discounts
510423,Exclusive discounts
510449,1 night free with flight
510452,1 night free with flight
510459,Free Checked Bag
510490,Exclusive discounts
510494,Free Hotel Meal
510511,Exclusive discounts
510533,Exclusive discounts
510537,Free Hotel Meal
510543,Exclusive discounts
510545,Exclusive discounts
510558,Free Checked Bag
510570,Free Checked Bag
510571,No Cancellation Fees
510575,Exclusive discounts
510580,Free Checked Bag
510582,Exclusive discounts
510585,Exclusive discounts
510586,Free Hotel Meal
510610,Exclusive discounts
510618,1 night free with flight
510676,Free Checked Bag
510686,Free Checked Bag
510694,Free Hotel Meal
510700,1 night free with flight
510707,Free Checked Bag
510719,Exclusive discounts
510733,Free Checked Bag
510754,1 night free with flight
510779,Free Checked Bag
510805,Free Checked Bag
510815,Free Checked Bag
510822,1 night free with flight
510828,Exclusive discounts
510836,Free Hotel Meal
510841,Free Hotel Meal
510890,Free Hotel Meal
510899,Free Checked Bag
510944,Free Hotel Meal
510946,No Cancellation Fees
510953,Exclusive discounts
510960,Free Checked Bag
510961,1 night free with flight
510972,Free Checked Bag
511017,Exclusive discounts
511055,Free Checked Bag
511066,Free Checked Bag
511093,1 night free with flight
511122,Free Checked Bag
511125,1 night free with flight
511126,1 night free with flight
511140,1 night free with flight
511142,Free Hotel Meal
511145,1 night free with flight
511148,1 night free with flight
511160,Free Checked Bag
511178,1 night free with flight
511195,Exclusive discounts
511208,No Cancellation Fees
511219,Exclusive discounts
511223,No Cancellation Fees
511238,Exclusive discounts
511260,Exclusive discounts
511298,Free Hotel Meal
511314,Free Checked Bag
511326,Free Checked Bag
511328,Exclusive discounts
511331,Free Hotel Meal
511364,Free Checked Bag
511377,Exclusive discounts
511379,Free Hotel Meal
511397,Free Hotel Meal
511398,Free Hotel Meal
511399,Exclusive discounts
511418,1 night free with flight
511424,Exclusive discounts
511433,1 night free with flight
511440,Free Checked Bag
511455,Free Checked Bag
511469,Free Checked Bag
511489,Free Checked Bag
511502,Free Checked Bag
511504,Free Checked Bag
511535,Free Checked Bag
511542,Free Checked Bag
511549,Exclusive discounts
511552,Exclusive discounts
511554,Free Checked Bag
511560,Free Checked Bag
511567,Free Hotel Meal
511568,Exclusive discounts
511570,No Cancellation Fees
511577,1 night free with flight
511578,Free Hotel Meal
511587,Free Checked Bag
511589,Exclusive discounts
511608,Exclusive discounts
511609,1 night free with flight
511613,Free Checked Bag
511638,Free Checked Bag
511665,Free Checked Bag
511666,Free Checked Bag
511677,Free Hotel Meal
511680,Free Checked Bag
511697,Free Checked Bag
511712,1 night free with flight
511726,Free Checked Bag
511739,Free Hotel Meal
511757,Exclusive discounts
511762,Free Checked Bag
511764,Exclusive discounts
511772,Free Checked Bag
511778,Free Hotel Meal
511783,Free Checked Bag
511784,Free Checked Bag
511800,Free Hotel Meal
511803,1 night free with flight
511805,Free Hotel Meal
511809,Exclusive discounts
511811,Free Checked Bag
511821,Exclusive discounts
511827,Exclusive discounts
511851,Exclusive discounts
511859,No Cancellation Fees
511860,Free Checked Bag
511862,Free Hotel Meal
511878,Exclusive discounts
511884,Free Checked Bag
511902,Free Checked Bag
511910,Exclusive discounts
511916,Free Checked Bag
511923,Free Checked Bag
511936,Free Checked Bag
511943,No Cancellation Fees
511977,Exclusive discounts
511989,Exclusive discounts
511996,1 night free with flight
511998,Exclusive discounts
512009,Free Checked Bag
512010,Free Checked Bag
512016,Exclusive discounts
512024,Exclusive discounts
512028,Free Checked Bag
512060,Free Checked Bag
512063,Exclusive discounts
512069,Free Hotel Meal
512078,Free Checked Bag
512099,Free Hotel Meal
512103,Free Hotel Meal
512144,Exclusive discounts
512147,Free Checked Bag
512148,Exclusive discounts
512163,1 night free with flight
512173,1 night free with flight
512190,Exclusive discounts
512193,Exclusive discounts
512197,Free Checked Bag
512201,Free Hotel Meal
512204,1 night free with flight
512243,Free Checked Bag
512249,Exclusive discounts
512266,Free Checked Bag
512271,Free Hotel Meal
512283,Free Hotel Meal
512289,Free Checked Bag
512294,Free Hotel Meal
512295,1 night free with flight
512301,Free Hotel Meal
512302,Free Checked Bag
512303,1 night free with flight
512305,Exclusive discounts
512322,1 night free with flight
512329,1 night free with flight
512362,Free Checked Bag
512377,Free Checked Bag
512392,Free Checked Bag
512397,Exclusive discounts
512402,Exclusive discounts
512416,Exclusive discounts
512418,No Cancellation Fees
512419,Free Hotel Meal
512440,Free Checked Bag
512443,Free Checked Bag
512447,Free Checked Bag
512463,Free Hotel Meal
512495,Free Hotel Meal
512529,Exclusive discounts
512536,Free Checked Bag
512552,Free Checked Bag
512556,No Cancellation Fees
512558,Free Checked Bag
512587,Free Checked Bag
512589,Free Checked Bag
512596,Free Checked Bag
512598,Free Hotel Meal
512610,Free Hotel Meal
512623,Exclusive discounts
512628,Free Hotel Meal
512631,1 night free with flight
512655,1 night free with flight
512671,Free Hotel Meal
512677,Exclusive discounts
512680,Exclusive discounts
512691,Free Checked Bag
512693,Free Checked Bag
512695,Free Hotel Meal
512696,No Cancellation Fees
512704,Exclusive discounts
512706,1 night free with flight
512780,Free Checked Bag
512786,Free Checked Bag
512787,1 night free with flight
512791,Free Hotel Meal
512801,Free Hotel Meal
512826,Free Hotel Meal
512831,Free Checked Bag
512835,1 night free with flight
512846,Free Checked Bag
